Code,AvgLast10yrs,GlobalAvg,CoeficienteAjuste
ARE,1.9831663156146242,1.221386793998541,1.6237004733956484
ARG,0.9638636573071259,1.221386793998541,0.7891551325454049
AUS,1.2503017031125896,1.221386793998541,1.023673834739434
AUT,0.7554120981833602,1.221386793998541,0.6184871998740986
AZE,1.2685468539428277,1.221386793998541,1.038611896064387
BEL,1.0930675041048017,1.221386793998541,0.8949396779756793
BGD,0.4649602062554971,1.221386793998541,0.38068219546841814
BGR,1.3297019741608447,1.221386793998541,1.0886821281305201
BLR,1.6848861112088291,1.221386793998541,1.3794861050469502
BRA,1.146174801038397,1.221386793998541,0.9384208235018514
CAN,2.0470525534598933,1.221386793998541,1.6760067846798241
CHE,0.4595664970735304,1.221386793998541,0.3762661421686203
CHL,0.9790076465807263,1.221386793998541,0.8015541443474095
CHN,1.7238436618689499,1.221386793998541,1.4113822667309837
COL,0.7521797619626657,1.221386793998541,0.6158407522159308
CYP,0.7635235161671291,1.221386793998541,0.6251283540306898
CZE,1.0597130266001387,1.221386793998541,0.867630984555581
DEU,0.7553901599982205,1.221386793998541,0.6184692381724923
DNK,0.5353222949444187,1.221386793998541,0.4382905542902556
DZA,1.3620119272470605,1.221386793998541,1.1151356261091911
ECU,1.1188883328815684,1.221386793998541,0.9160802608799985
EGY,0.7793012183508213,1.221386793998541,0.6380462128623213
ESP,0.8318807977198578,1.221386793998541,0.6810952941422187
EST,1.212341414885805,1.221386793998541,0.9925941731504042
FIN,1.1933627603170882,1.221386793998541,0.9770555619078634
FRA,0.7467208944591491,1.221386793998541,0.6113713510971867
GBR,0.6375555674981421,1.221386793998541,0.5219931725403146
GRC,0.9553242419171181,1.221386793998541,0.7821635591699866
HKG,0.5081979291955167,1.221386793998541,0.4160827116296164
HRV,0.7151668141450724,1.221386793998541,0.5855367174912542
HUN,0.7793972164138914,1.221386793998541,0.6381248104560908
IDN,0.7940891004886004,1.221386793998541,0.6501536649900514
IND,1.0044103348061308,1.221386793998541,0.8223523782485982
IRL,0.329003947665126,1.221386793998541,0.2693691705868559
IRN,2.4663922463667576,1.221386793998541,2.019337574702567
IRQ,1.56452024381545,1.221386793998541,1.2809375797273594
ISL,2.913928661289572,1.221386793998541,2.385754189915576
ISR,0.7166721956623274,1.221386793998541,0.5867692357439911
ITA,0.6537902649383488,1.221386793998541,0.5352851923328801
JPN,0.9467484048182739,1.221386793998541,0.7751421658317069
KAZ,1.6936048151860712,1.221386793998541,1.386624469421023
KOR,1.5007389436064509,1.221386793998541,1.2287171852361158
KWT,2.1028809063417846,1.221386793998541,1.7217157715103775
LKA,0.35075499210468547,1.221386793998541,0.2871776523441799
LTU,0.5627310725131291,1.221386793998541,0.4607312566978691
LUX,0.5080898146798797,1.221386793998541,0.4159941937938512
LVA,0.6397821371289364,1.221386793998541,0.5238161573979656
MAR,0.8352088019116651,1.221386793998541,0.6838200691341868
MEX,0.9385035476798693,1.221386793998541,0.7683917595075868
MKD,0.8241829282865468,1.221386793998541,0.6747927293272595
MYS,1.3947126266439056,1.221386793998541,1.141909044290495
NLD,0.937860489264901,1.221386793998541,0.7678652609257058
NOR,1.434275266836782,1.221386793998541,1.1743006178585678
NZL,1.0064312138086604,1.221386793998541,0.8240069556621247
OMN,2.568179237122473,1.221386793998541,2.1026748035442906
PAK,0.7890607006524424,1.221386793998541,0.6460367055953161
PER,0.7717764234427111,1.221386793998541,0.63188535133583
PHL,0.5904010688544552,1.221386793998541,0.48338582974326844
POL,0.8630810452102023,1.221386793998541,0.7066402301474641
PRT,0.6922353760735586,1.221386793998541,0.5667617985350393
QAT,2.0098165742755034,1.221386793998541,1.6455201449295385
ROU,0.582738683710388,1.221386793998541,0.47711231738689003
RUS,1.9927995296240077,1.221386793998541,1.6315875850434225
SAU,1.747564793385983,1.221386793998541,1.4308037404472465
SGP,1.4379759559742231,1.221386793998541,1.1773305254649256
SVK,1.0612572178608322,1.221386793998541,0.8688952779541023
SVN,0.8416151094014387,1.221386793998541,0.6890651786451557
SWE,1.0889477239456413,1.221386793998541,0.8915666431767086
THA,1.1204707612174531,1.221386793998541,0.9173758605570707
TKM,4.841748734286439,1.221386793998541,3.9641404001394682
TTO,4.604685308438147,1.221386793998541,3.7700467460954448
TUR,0.6914493192980717,1.221386793998541,0.5661182212675027
UKR,1.704429261197964,1.221386793998541,1.3954868920909587
USA,1.2369611434380094,1.221386793998541,1.0127513655100868
UZB,2.0370071585216913,1.221386793998541,1.667782203418948
VNM,1.1392077771764366,1.221386793998541,0.9327166322528598
ZAF,1.6582318203200868,1.221386793998541,1.3576631321609554
